id,count
0,106.0
1,148.0
2,104.0
4,49.0
5,64.0
10,129.0
11,5.0
12,300.0
15,15.0
17,134.0
18,271.0
23,214.0
25,114.0
26,36.0
31,199.0
39,156.0
40,26.0
41,199.0
42,380.0
43,133.0
51,300.0
52,106.0
54,17.0
60,138.0
61,155.0
62,119.0
63,35.0
65,127.0
66,129.0
68,181.0
71,30.0
80,30.0
82,137.0
94,92.0
98,278.0
101,49.0
102,165.0
107,5.0
112,287.0
113,6.0
115,137.0
116,127.0
120,56.0
121,30.0
122,335.0
132,221.0
143,12.0
147,137.0
150,28.0
151,69.0
152,300.0
153,69.0
155,191.0
156,93.0
159,246.0
161,51.0
163,20.0
177,152.0
186,2.0
188,17.0
190,106.0
191,19.0
192,316.0
195,335.0
200,143.0
209,335.0
210,9.0
211,229.0
214,5.0
215,21.0
218,95.0
219,50.0
222,236.0
225,17.0
228,310.0
236,246.0
241,37.0
242,109.0
243,215.0
245,11.0
247,252.0
251,165.0
252,103.0
253,90.0
254,87.0
258,293.0
260,137.0
261,148.0
265,137.0
266,252.0
267,335.0
269,133.0
270,137.0
275,95.0
278,52.0
279,78.0
286,117.0
287,28.0
288,241.0
289,143.0
293,17.0
294,158.0
297,137.0
302,137.0
303,6.0
304,64.0
307,109.0
309,15.0
311,180.0
312,143.0
314,229.0
315,332.0
319,153.0
322,119.0
323,137.0
325,108.0
327,252.0
330,52.0
332,284.0
333,17.0
338,92.0
341,132.0
345,199.0
348,339.0
349,52.0
350,129.0
352,137.0
355,28.0
356,123.0
358,137.0
363,121.0
369,226.0
371,28.0
372,156.0
375,271.0
380,115.0
388,45.0
391,161.0
392,310.0
393,425.0
394,267.0
396,34.0
401,49.0
407,137.0
409,80.0
410,115.0
416,75.0
418,129.0
420,167.0
421,237.0
422,161.0
424,317.0
428,398.0
429,126.0
431,5.0
435,3.0
439,129.0
441,3.0
447,78.0
449,229.0
451,133.0
452,17.0
454,262.0
458,126.0
463,141.0
467,9.0
470,316.0
471,133.0
474,324.0
478,16.0
483,135.0
484,108.0
485,94.0
486,114.0
491,92.0
494,74.0
495,278.0
497,199.0
499,304.0
515,92.0
518,221.0
521,236.0
525,168.0
529,304.0
532,115.0
534,137.0
540,137.0
544,271.0
547,133.0
549,45.0
