id,count
0,80.7
1,209.8
2,79.5
4,32.4
5,72.1
10,118.9
11,167.1
12,339.8
15,41.9
17,99.9
18,293.6
23,289.8
25,114.6
26,35.9
31,201.4
39,188.2
40,27.9
41,172.6
42,328.4
43,151.4
51,202.2
52,76.5
54,12.8
60,148.7
61,145.0
62,113.7
63,29.7
65,121.5
66,108.7
68,188.6
71,79.0
80,32.3
82,67.1
94,164.0
98,306.9
101,34.2
102,117.7
107,108.9
112,242.9
113,67.7
115,77.5
116,121.6
120,206.9
121,67.4
122,346.9
132,185.8
143,84.1
147,70.4
150,20.4
151,87.7
152,227.6
153,94.1
155,158.7
156,90.0
159,197.2
161,144.3
163,47.9
177,201.0
186,8.0
188,15.3
190,90.5
191,78.3
192,234.7
195,320.9
200,131.3
209,304.7
210,13.2
211,237.1
214,86.7
215,27.6
218,95.9
219,33.2
222,92.2
225,15.2
228,298.2
236,203.0
241,34.0
242,178.8
243,248.6
245,18.3
247,251.5
251,145.9
252,77.0
253,80.8
254,83.1
258,314.3
260,53.0
261,179.3
265,119.8
266,268.2
267,277.0
269,164.8
270,77.8
275,95.1
278,30.1
279,85.5
286,92.1
287,26.9
288,189.6
289,135.0
293,17.3
294,148.0
297,54.8
302,117.5
303,59.2
304,70.9
307,97.0
309,16.5
311,152.2
312,131.7
314,189.9
315,220.0
319,164.1
322,119.4
323,82.6
325,137.4
327,259.0
330,35.7
332,202.8
333,16.7
338,103.0
341,109.2
345,185.5
348,116.3
349,42.7
350,119.0
352,70.2
355,12.4
356,185.3
358,77.5
363,127.3
369,174.6
371,20.8
372,154.4
375,293.5
380,124.7
388,40.0
391,143.8
392,249.2
393,351.2
394,185.3
396,28.1
401,28.6
407,104.8
409,84.3
410,114.4
416,134.4
418,118.2
420,166.6
421,257.0
422,126.0
424,293.3
428,326.6
429,195.4
431,138.6
435,11.4
439,111.4
441,11.1
447,95.0
449,179.3
451,154.4
452,14.0
454,175.4
458,171.4
463,110.6
467,15.3
470,190.9
471,132.2
474,266.6
478,14.8
483,125.8
484,143.0
485,91.7
486,127.8
491,89.2
494,112.1
495,240.5
497,193.0
499,150.7
515,104.0
518,216.3
521,169.5
525,186.3
529,224.4
532,152.9
534,111.4
540,104.5
544,313.0
547,173.2
549,39.9
563,35.1
564,140.7
567,116.2
572,105.4
577,148.5
578,287.3
585,322.9
588,147.3
589,111.2
590,111.4
592,15.0
594,204.0
596,12.7
598,342.7
599,146.7
605,32.5
606,130.7
607,255.1
608,259.8
609,72.1
610,276.8
611,161.2
614,133.9
615,197.0
616,240.9
617,118.9
618,244.0
624,122.0
629,135.5
631,95.6
633,93.6
637,23.6
638,104.9
643,57.5
644,133.1
645,29.8
646,228.2
648,187.4
650,37.2
651,194.1
652,277.0
656,80.5
657,15.7
659,93.0
660,226.6
662,99.6
665,354.0
675,287.8
681,187.3
682,198.6
685,15.5
686,184.6
689,22.0
696,145.7
703,138.0
704,89.0
705,77.2
714,226.9
717,99.9
718,14.6
720,83.7
721,248.0
723,270.3
726,162.3
728,163.8
730,172.2
731,26.7
734,345.7
737,73.9
738,16.1
745,171.7
746,26.3
749,234.0
752,21.6
753,152.1
758,241.8
765,14.5
766,220.0
768,89.9
769,228.2
774,155.0
775,114.9
781,52.8
784,313.7
794,19.5
795,268.7
796,81.8
802,137.7
803,239.9
805,25.2
806,291.3
807,104.6
809,15.6
810,154.4
812,204.8
814,111.2
818,246.5
819,156.1
825,78.1
836,116.3
839,126.2
847,258.9
848,124.2
851,125.8
852,152.1
853,31.0
857,132.6
858,31.9
859,200.9
861,15.0
867,94.5
870,211.0
871,203.1
872,219.6
874,340.6
881,172.2
886,135.9
890,77.5
895,139.5
899,81.2
900,274.6
901,260.4
902,246.0
903,44.7
913,275.0
918,210.1
923,91.4
924,32.4
926,28.2
927,16.1
930,216.2
934,29.6
937,83.1
939,177.5
941,83.3
942,356.8
946,258.3
950,95.1
953,92.7
959,74.2
961,23.3
962,96.3
964,94.3
969,191.6
971,147.1
976,46.3
978,272.0
980,239.2
981,177.3
990,357.4
993,16.0
996,20.8
998,328.0
999,204.6
1006,114.9
1008,15.6
1013,26.4
1015,93.1
1016,115.0
1022,273.2
1026,225.0
1028,218.0
1031,72.1
1034,54.2
1037,204.4
1040,68.5
1042,18.7
1046,17.2
1048,107.8
1049,108.3
1050,67.1
1051,208.1
1052,253.6
1055,188.0
1060,164.8
1064,22.9
1066,60.4
1071,98.3
1073,14.3
1089,201.0
1091,96.3
1092,79.4
1093,243.1
1096,296.1
1097,216.1
1098,18.7
