id,count
0,117.5
1,216.4
2,106.1
4,29.7
5,81.8
10,111.8
11,232.2
12,367.5
15,22.7
17,90.4
18,316.1
23,263.8
25,87.3
26,42.2
31,169.8
39,130.2
40,29.1
41,99.1
42,373.0
43,119.9
51,221.2
52,63.9
54,15.2
60,141.9
61,125.5
62,111.7
63,38.2
65,113.1
66,102.9
68,148.6
71,87.6
80,27.5
82,66.5
94,129.1
98,253.3
101,27.6
102,139.7
107,72.2
112,228.6
113,80.3
115,60.8
116,122.4
120,193.9
121,76.0
122,353.2
132,222.9
143,87.5
147,70.4
150,15.2
151,84.9
152,214.2
153,95.8
155,189.5
156,87.0
159,230.4
161,157.3
163,46.0
177,142.7
186,11.9
188,18.0
190,85.1
191,91.1
192,271.4
195,354.1
200,145.6
209,325.4
210,14.6
211,238.5
214,84.7
215,25.5
218,95.6
219,24.3
222,160.6
225,14.7
228,328.9
236,234.1
241,34.7
242,209.2
243,241.7
245,18.5
247,245.7
251,130.7
252,76.6
253,87.4
254,85.8
258,308.1
260,53.9
261,151.7
265,111.1
266,310.5
267,313.1
269,127.2
270,60.0
275,105.5
278,36.0
279,84.2
286,103.4
287,27.3
288,218.9
289,134.1
293,18.9
294,156.8
297,38.0
302,123.6
303,83.5
304,81.0
307,101.3
309,16.7
311,188.8
312,98.8
314,163.1
315,238.7
319,143.1
322,116.9
323,62.5
325,103.3
327,266.1
330,38.9
332,229.0
333,19.0
338,103.3
341,121.4
345,111.0
348,133.9
349,45.8
350,108.3
352,53.7
355,14.1
356,212.0
358,60.8
363,120.4
369,123.9
371,15.4
372,108.1
375,323.1
380,115.3
388,46.6
391,121.8
392,258.0
393,410.2
394,222.0
396,24.7
401,36.6
407,94.7
409,85.6
410,105.2
416,115.8
418,111.7
420,155.7
421,185.5
422,115.0
424,271.0
428,386.1
429,245.4
431,75.2
435,8.2
439,103.2
441,11.9
447,92.0
449,135.3
451,120.4
452,14.9
454,182.2
458,208.8
463,106.7
467,13.7
470,149.7
471,131.5
474,302.2
478,15.8
483,129.6
484,127.6
485,98.9
486,117.3
491,93.7
494,111.6
495,256.3
497,202.4
499,175.9
515,126.3
518,198.6
521,172.5
525,139.6
529,270.5
532,145.8
534,108.2
